,actual_brent_price,forecast_brent_price,CPI__USA_M_FGI,D_EU_LIQUIDS,D_NA_LIQUIDS,D_NONOECD_LIQUIDS,D_OECD_LIQUIDS,D_WOR_LIQUIDS,INVCHANGE_WOR_LIQUIDS,IP__EUN_M_FGI,IP__OECD_M_FGI,IP__USA_M_FGI,IP__WOR_M_FGI,IP__XOECD_M_FGI,IP_OECD_M_FGI,IP_USA_M_FGI,IP_WOR_M_FGI,IP_XOECD_M_FGI,P_NA_CRUDE,P_NONOPEC_CRUDE,P_NONOPEC_LIQUIDS,P_OPEC_CRUDE,P_OPEC_LIQUIDS,P_WOR_CRUDE,P_WOR_LIQUIDS,POILBNT_WOR_M_FGI,RMSHORT_EUN_M_FGI,RMSHORT_OECD_M_FGI,RMSHORT_USA_M_FGI,RMSHORT_WOR_M_FGI,RMSHORT_XOECD_M_FGI,RMSPREAD_EUN_M_FGI,RMSPREAD_OECD_M_FGI,RMSPREAD_USA_M_FGI,RMSPREAD_WOR_M_FGI,RMSPREAD_XOECD_M_FGI,RU_OECD_M_FGI,RU_USA_M_FGI,RU_WOR_M_FGI,RU_XOECD_M_FGI,RU_EUN_M_FGI,RX_EUN_M_FGI,RX_OECD_M_FGI,RX_WOR_M_FGI,RX_XOECD_M_FGI
12,25.64,25.11271214604378,3.721204962,16.39729334,22.08958564,28.501480260000005,49.50541701,78.00689727,-1.0645777639999998,4.152300753999999,1.9462527429999992,0.42741189999999896,2.4014864630000012,4.766266113999999,99.79423445999998,100.77062099999999,87.51251255000001,54.41681797,7.927787319,39.23154608,43.56655139,28.00059282,31.124600220000005,67.23213890000001,77.09702918,25.64,5.500898052999999,4.797470263,5.15,5.738889511,10.15529525,-0.17516350900000002,0.10278809099999997,0.010000000000000016,0.21400471500000004,0.9257230320000001,6.158318111,4.2,7.309079286,10.18655283,9.146471234,134.6590925,118.4923354,114.14875659999998,97.3523969
13,27.41,24.95130131363869,3.5294117650000003,16.41253385,21.65407667,28.684039729999995,49.07436433,77.75840406,-0.861747162,3.095986093,1.3458245639999997,-0.4740636060000002,2.396983208,7.795601577,99.80852274,100.1541101,88.03974040000001,56.330164,7.940504411,39.23671079,43.8803133,27.44161562,30.56562303,66.67832641,76.88397833,27.41,5.476859065,4.631737966,4.88,5.623305739,10.265592400000001,-0.14883249900000006,0.224375479,0.21999999999999997,0.258441827,0.47609060799999997,6.206989284,4.2,7.260451131,9.8918438,9.130176630999998,137.022099,119.18169909999999,114.76900119999999,97.72564395
14,24.4,24.35740600347519,2.9824561400000005,16.36095462,21.90661713,28.311602919999995,48.763186499999996,77.07478941,0.924868971,2.1477556159999995,0.1288199220000012,-1.1264907040000005,0.8523943130000003,4.541246662999999,99.14934177,99.89610726999999,87.28202161,55.30257793,8.062967081,39.431562379999995,44.20040579,28.126113500000002,31.2501209,67.55767588,77.90169064,24.4,5.382072186,4.343062732,4.42,5.3750771760000005,10.19807478,-0.132939733,0.383681723,0.4699999999999999,0.466271641,0.9928195840000001,6.195638817000001,4.3,7.439940365999999,10.24659473,9.09887396,138.6711034,120.96348529999999,116.34501670000002,98.57383674
15,25.55,24.871392545700076,3.21825629,15.843884349999998,21.62211948,28.51089442,47.50204694,76.01294136,1.0552080349999995,0.3072981500000003,-1.316887985000001,-2.0710778050000007,-0.3691566359999992,4.537885594,98.44050505,99.66283286,86.67481212,54.96992982,7.9465857589999995,39.15490448,43.8551598,27.67730379,30.813711970000004,66.83220827,77.08604939,25.55,5.316629292,4.06996297,3.87,5.191446115,10.45227249,0.07942361299999999,0.825963887,1.27,0.770319777,0.41430205999999986,6.201957263,4.4,7.527373816,10.51435493,9.081946736,140.9722114,122.28321499999998,117.6403147,99.7629075
16,28.45,26.908903216123583,3.5630841119999994,15.95970221,21.49662588,28.80876212,47.78797302,76.59673513,0.14821983899999958,-0.3007319169999987,-2.241478158000001,-2.9029105089999994,-1.4413953859999988,2.6250953710000005,98.10854663,98.99866939,86.50402022,55.24072009999999,7.970924557999999,38.79397069,43.58721434,27.45148306,30.59107726,66.24545375,76.74518078,28.45,5.24711452,3.865831339,3.62,5.008231319,10.373163780000002,0.3418222370000001,1.172938141,1.7700000000000005,1.053555547,0.28758198,6.193176284,4.3,7.500654312999999,10.44419584,9.090352307,143.3127949,122.3748314,117.9048803,100.6131533
17,27.72,23.862286548614506,3.193960511,16.05511576,21.67700256,29.064107880000005,47.52522544,76.58933332,-1.1885402189999998,0.46867517199999953,-2.7186694099999995,-3.589033745,-2.018222044,1.5102011949999996,97.68594820000001,98.38884464,86.15956254,55.10900994,7.844438886,38.74122755999999,43.56185058,25.88845067,29.02804487,64.62967823,75.3029931,27.72,5.0928105630000005,3.704192486,3.49,4.935498386,10.702798179999998,0.45761339999999995,1.182125558,1.7900000000000005,0.975937141,-0.34399899299999986,6.265927907999999,4.5,7.469097865,10.17516414,9.079669409,146.5766241,123.36824080000001,118.8806756,101.5121603
18,24.54,23.67678691506386,2.7214823389999996,16.51885762,22.07287506,28.319665820000004,48.54578739,76.86545321,0.5179978950000005,-1.4165904649999996,-3.7827350389999985,-4.011293022000001,-2.9618498729999994,1.1851281249999994,96.67725165,97.82253331999999,85.38940936000002,54.99325356,7.859437142000001,39.5014861,44.34870645,26.97495686,30.117493989999996,66.47644296,77.23396724,24.54,5.047545115,3.7107434349999995,3.51,4.958026591,10.81667602,0.47546097000000004,1.18551339,1.7300000000000002,1.04333733,0.1291425559999999,6.303812879,4.6,7.390948477999999,9.83375718,9.088427911,145.5208924,123.6010618,119.1528692,101.91488890000001
19,25.67,25.159600099325182,2.7214823389999996,16.62859373,22.3797569,28.37311598,49.28993828,77.66305426,0.12296119200000036,0.4334735400000009,-3.562868242999999,-3.8821248210000006,-2.8663611089999996,0.6185277079999997,97.22468671,97.64232405999999,85.86791128,55.28553981,7.86425505,39.25964834,44.120929499999995,27.657262290000002,30.79979942,66.91691063,77.72601545,25.67,4.899807913,3.5315824400000007,3.36,4.870358213,11.196809669999999,0.4307084439999999,1.148271431,1.61,1.011499701,0.12306526599999995,6.372801569,4.9,7.432980128,9.813113291,9.09488175,140.0780785,121.43985649999999,117.38356770000001,101.5324095
20,25.54,23.234372481107716,2.5921658990000007,16.98437376,21.07604491,28.38723732,48.05081943,76.43805676,0.9497508910000003,-0.9266823220000009,-4.181747479999999,-4.610318332000001,-3.5693569299999997,-0.5254580460000001,96.30512746,97.29973543000001,85.04256366,54.71207774,7.769193861000001,39.459299679999994,44.34825157,27.237212640000003,30.39133162,66.69651232,77.51137431,25.54,4.5656118260000005,3.139046028,2.64,4.52164807,11.07386213,0.7683421479999999,1.445933917,2.09,1.271923103,0.14185621999999998,6.453229310000001,5.0,7.53954975,9.976336365,9.119262069,138.50089880000002,120.7931649,117.0852389,102.4662766
21,20.48,21.553826762437822,2.127659574,16.73532299,21.83128665,28.644922100000006,48.43661449,77.08153659999999,0.07526522200000041,-1.9770905650000008,-4.957349014999999,-4.7528503220000005,-4.166129181000001,-0.19640320399999994,95.73370496,96.86322147,84.7016233,55.01748271,7.8989299310000005,39.41583163,44.35192171,27.08132707,30.23838898,66.49715869,77.32686633,20.48,4.199748657,2.786351251,2.16,4.198198034,10.864552339999998,0.9068503640000002,1.658724052,2.41,1.479566165,0.31998607899999976,6.589522908999999,5.3,7.651975462999999,10.03305688,9.148251655000001,139.2049272,121.44848710000001,117.7847616,103.3141542
